Symbol,Name,Price,Change,Market Cap,PE Ratio
RY,Royal Bank of Canada,95.84,-0.38,133442000000.0,12.22
HDB,HDFC Bank Limited,67.79,0.66,126149000000.0,26.17
GS,"The Goldman Sachs Group, Inc.",318.98,-1.74,106714000000.0,11.43
MA,Mastercard Incorporated,380.36,-3.03,359463000000.0,37.87
JPM-PD,JPMorgan Chase & Co.,24.59,-0.06,326693000000.0,1.82
BAC,Bank of America Corporation,27.08,-0.31,215609000000.0,8.1
HSBC,HSBC Holdings plc,37.5,0.05,151092000000.0,6.79
WFC,Wells Fargo & Company,37.4,-0.93,141116000000.0,10.86
HDB,HDFC Bank Limited,67.8,0.67,126158000000.0,26.17
GS,"The Goldman Sachs Group, Inc.",318.99,-1.73,106774000000.0,11.43
SPGI,S&P Global Inc.,358.29,-2.0,114939000000.0,43.75
BAC,Bank of America Corporation,27.08,-0.31,215799000000.0,8.11
HSBC,HSBC Holdings plc,37.51,0.06,151193000000.0,6.79
MS,Morgan Stanley,82.32,-0.31,139263000000.0,14.31
WFC,Wells Fargo & Company,37.42,-0.91,141286000000.0,10.87
RY,Royal Bank of Canada,95.87,-0.35,133442000000.0,12.22
HDB,HDFC Bank Limited,67.8,0.67,126186000000.0,26.18
GS,"The Goldman Sachs Group, Inc.",319.12,-1.6,106777000000.0,11.43
SPGI,S&P Global Inc.,358.21,-2.08,114939000000.0,43.75
C,Citigroup Inc.,45.4,-0.63,88976000000.0,6.28
JPM-PC,JPMorgan Chase & Co.,25.0,-0.11,327945000000.0,1.85
BAC,Bank of America Corporation,27.08,-0.31,215844000000.0,8.11
HSBC,HSBC Holdings plc,37.51,0.06,151233000000.0,6.8
MS,Morgan Stanley,82.31,-0.32,139289000000.0,14.32
WFC,Wells Fargo & Company,37.42,-0.91,141362000000.0,10.88
RY,Royal Bank of Canada,95.87,-0.35,133484000000.00002,12.23
GS,"The Goldman Sachs Group, Inc.",319.12,-1.6,106821000000.0,11.44
SPGI,S&P Global Inc.,358.12,-2.17,114923000000.0,43.74
C,Citigroup Inc.,45.4,-0.63,89006000000.0,6.28
AXP,American Express Company,147.97,-0.02,110512000000.0,15.63
BAC,Bank of America Corporation,27.08,-0.31,215779000000.0,8.11
WFC-PR,Wells Fargo & Company,25.24,0.51,186047000000.0,5.22
MS,Morgan Stanley,82.3,-0.33,139280000000.0,14.31
WFC,Wells Fargo & Company,37.42,-0.92,141362000000.0,10.88
SPGI,S&P Global Inc.,358.12,-2.17,114885000000.0,43.73
C,Citigroup Inc.,45.4,-0.63,89025000000.0,6.28
AXP,American Express Company,147.97,-0.02,110490000000.0,15.63
TD,The Toronto-Dominion Bank,60.62,-0.27,111861000000.0,9.89
BAC,Bank of America Corporation,27.08,-0.31,215758000000.0,8.11
WFC-PY,Wells Fargo & Company,22.38,0.03,182822000000.0,4.63
MS,Morgan Stanley,82.3,-0.33,139263000000.0,14.31
WFC,Wells Fargo & Company,37.4,-0.93,141343000000.0,10.88
WFC-PC,Wells Fargo & Company,17.19,0.03,123026000000.0,3.57
GS,"The Goldman Sachs Group, Inc.",319.03,-1.69,106821000000.0,11.44
SPGI,S&P Global Inc.,358.03,-2.26,114856000000.0,43.72
C,Citigroup Inc.,45.38,-0.65,89016000000.0,6.28
AXP,American Express Company,147.88,-0.12,110445000000.0,15.62
BX,Blackstone Inc.,83.01,-0.26,98916000000.0,101.24
BAC,Bank of America Corporation,27.07,-0.32,215725000000.0,8.1
BAC-PB,Bank of America Corporation,24.54,-0.03,245281000000.0,6.98
MS,Morgan Stanley,82.27,-0.36,139229000000.0,14.31
WFC,Wells Fargo & Company,37.4,-0.93,141305000000.0,10.87
WFC-PC,Wells Fargo & Company,17.19,0.03,122598000000.0,3.56
GS,"The Goldman Sachs Group, Inc.",319.03,-1.69,106791000000.0,11.43
C,Citigroup Inc.,45.38,-0.65,88996000000.0,6.28
AXP,American Express Company,147.88,-0.12,110419000000.0,15.62
BX,Blackstone Inc.,82.98,-0.3,98910000000.0,101.24
BLK,"BlackRock, Inc.",650.51,8.49,98457000000.0,20.36
BAC,Bank of America Corporation,27.06,-0.33,215679000000.0,8.1
MS,Morgan Stanley,82.3,-0.33,139212000000.0,14.31
WFC-PC,Wells Fargo & Company,17.23,0.07,122883000000.0,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106741000000.0,11.43
C,Citigroup Inc.,45.4,-0.63,88986000000.0,6.28
BX,Blackstone Inc.,83.0,-0.28,98868000000.0,101.2
BLK,"BlackRock, Inc.",650.99,8.97,98412000000.0,20.35
RY-PT,Royal Bank of Canada,25.44,0.02,94477000000.0,2.89
BAC,Bank of America Corporation,27.08,-0.31,215765000000.0,8.11
WFC-PQ,Wells Fargo & Company,25.0,1.44,201039000000.0,5.18
HSBC,HSBC Holdings plc,37.51,0.06,151213000000.0,6.79
MS,Morgan Stanley,82.28,-0.35,139263000000.0,14.31
WFC,Wells Fargo & Company,37.42,-0.92,141305000000.0,10.87
RY,Royal Bank of Canada,95.81,-0.41,133470000000.0,12.23
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106798000000.0,11.44
C,Citigroup Inc.,45.4,-0.63,89035000000.0,6.28
